version     minWireVersion      maxWireVersion
2.2         0                   0
2.4         0                   0
2.6         0                   2
3.0         0                   3
3.2         0                   4
3.4         0                   5
3.6         0                   6
4.0         0                   7
4.2         0                   8
4.4         0                   9
5.0         0                   13
6.0         0                   17
7.0         0                   21
8.0-rc      0                   25
